,name,bonus,goals,assists,minutes,penalties_missed,penalties_saved,clean_sheets,points,reds,yellows,team,position,cost
0,Mesut Özil,0,0,0,0,0,0,0,0,0,0,ARS,MID,67
1,Sokratis Papastathopoulos,0,0,0,0,0,0,0,0,0,0,ARS,DEF,48
2,David Luiz Moreira Marinho,0,1,0,1396,0,0,3,41,1,1,ARS,DEF,54
3,Pierre-Emerick Aubameyang,11,10,3,2330,0,0,10,131,0,2,ARS,MID,113
4,Cédric Soares,3,0,1,744,0,0,2,28,0,1,ARS,DEF,46
5,Alexandre Lacazette,21,13,3,1916,0,0,7,129,0,3,ARS,FWD,84
6,Shkodran Mustafi,0,0,0,45,0,0,0,3,0,0,ARS,DEF,50
7,Bernd Leno,11,0,0,3131,0,1,11,131,1,0,ARS,GKP,50
8,Granit Xhaka,1,1,2,2519,0,0,10,70,1,7,ARS,MID,52
9,Pablo Marí,1,0,0,900,0,0,4,34,0,2,ARS,DEF,44
10,Héctor Bellerín,17,1,3,2089,0,0,7,94,0,8,ARS,DEF,50
11,Calum Chambers,3,0,3,751,0,0,2,36,0,0,ARS,DEF,45
12,Sead Kolasinac,0,0,0,90,0,0,0,2,0,0,ARS,DEF,48
13,Rob Holding,10,0,1,2557,0,0,11,105,0,2,ARS,DEF,43
14,Kieran Tierney,4,1,4,2299,0,0,8,96,0,4,ARS,DEF,52
15,Nicolas Pépé,11,10,3,1606,0,0,4,114,1,1,ARS,MID,77
16,Lucas Torreira,0,0,0,0,0,0,0,0,0,0,ARS,MID,47
17,Reiss Nelson,0,0,0,70,0,0,0,2,0,0,ARS,MID,51
18,Edward Nketiah,5,2,1,411,0,0,1,36,0,0,ARS,FWD,53
19,Emile Smith Rowe,3,2,5,1438,0,0,9,74,0,0,ARS,MID,42
20,Bukayo Saka,8,5,5,2554,0,0,8,114,0,1,ARS,MID,51
21,Matteo Guendouzi,0,0,0,0,0,0,0,0,0,0,ARS,MID,47
22,Gabriel Teodoro Martinelli Silva,0,2,1,582,0,0,4,36,0,0,ARS,MID,49
23,William Saliba,0,0,0,0,0,0,0,0,0,0,ARS,DEF,40
24,Mathew Ryan,0,0,0,1260,0,0,3,37,0,1,ARS,GKP,41
25,Willian Borges Da Silva,9,1,7,1398,0,0,3,78,0,0,ARS,MID,75
26,Gabriel Magalhães,7,2,0,1996,0,0,6,78,1,2,ARS,DEF,49
27,Daniel Ceballos Fernández,7,0,4,1609,0,0,6,62,0,4,ARS,MID,47
28,Mohamed Naser El Sayed Elneny,3,1,0,1538,0,0,5,50,0,3,ARS,MID,42
29,Matt Macey,0,0,0,0,0,0,0,0,0,0,ARS,GKP,40
