,name,no_games,avg_assists,last_assists,avg_bonus,last_bonus,avg_bps,last_bps,avg_clean_sheets,last_clean_sheets,avg_creativity,last_creativity,avg_element_code,last_element_code,avg_end_cost,last_end_cost,avg_goals_conceded,last_goals_conceded,avg_goals_scored,last_goals_scored,avg_ict_index,last_ict_index,avg_influence,last_influence,avg_minutes,last_minutes,avg_own_goals,last_own_goals,avg_penalties_missed,last_penalties_missed,avg_penalties_saved,last_penalties_saved,avg_red_cards,last_red_cards,avg_saves,last_saves,avg_start_cost,last_start_cost,avg_threat,last_threat,avg_total_points,last_total_points,avg_yellow_cards,last_yellow_cards
0,Mesut Özil,8,7.625,0,12.625,0,423.5,0,8.625,0,529.2375,0.0,37605.0,37605,85.125,67,22.5,0,4.125,0,101.30000000000001,0.0,266.025,0.0,1900.875,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,86.875,70,216.625,0.0,107.625,0,1.625,0
0,Sokratis Papastathopoulos,3,0.6666666666666666,0,3.0,0,235.66666666666666,0,3.0,0,34.9,0.0,39476.0,39476,49.0,48,19.333333333333332,0,1.0,0,42.96666666666667,0.0,316.6666666666667,0.0,1298.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,51.666666666666664,50,76.66666666666667,0.0,40.333333333333336,0,6.0,0
0,David Luiz Moreira Marinho,9,1.2222222222222223,0,6.888888888888889,0,272.55555555555554,230,8.11111111111111,3,76.94444444444444,46.7,41270.0,41270,60.22222222222222,54,21.88888888888889,20,1.5555555555555556,1,49.18888888888889,43.9,296.93333333333334,250.6,1981.2222222222222,1396,0.1111111111111111,0,0.0,0,0.0,0,0.4444444444444444,1,0.0,0,60.55555555555556,55,118.11111111111111,144.0,84.66666666666667,41,4.444444444444445,1
0,Pierre-Emerick Aubameyang,4,4.75,3,23.0,11,568.75,358,7.75,10,383.20000000000005,361.5,54694.0,54694,109.5,113,31.75,26,16.0,10,217.32500000000002,167.4,742.0500000000001,493.8,2311.0,2330,0.25,1,0.5,0,0.0,0,0.25,0,0.0,0,111.25,120,1050.25,823.0,157.0,131,1.25,2
0,Cédric Soares,6,2.0,1,5.5,3,375.8333333333333,125,6.166666666666667,2,277.45,114.8,58822.0,58822,46.5,46,26.833333333333332,11,0.3333333333333333,0,68.94999999999999,29.2,311.1333333333333,110.8,1844.0,744,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,49.166666666666664,50,100.16666666666667,66.0,69.0,28,3.1666666666666665,1
0,Alexandre Lacazette,4,6.75,3,17.0,21,485.5,452,7.0,7,423.375,307.4,59966.0,59966,93.25,84,26.25,21,12.5,13,215.70000000000002,170.4,668.1,602.4,2119.25,1916,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,95.0,85,1067.0,797.0,137.75,129,3.5,3
0,Shkodran Mustafi,9,0.5555555555555556,0,3.111111111111111,0,206.22222222222223,16,3.111111111111111,0,49.12222222222223,1.0,69140.0,69140,49.111111111111114,50,13.11111111111111,1,0.7777777777777778,0,42.93333333333334,1.3,271.3555555555556,11.6,934.1111111111111,45,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,50.0,50,108.11111111111111,0.0,36.111111111111114,3,3.111111111111111,0
0,Bernd Leno,3,0.0,0,8.666666666666666,11,594.6666666666666,625,8.0,11,0.0,0.0,80201.0,80201,49.0,50,39.333333333333336,37,0.0,0,78.3,70.3,784.2000000000002,702.2,2871.6666666666665,3131,0.3333333333333333,1,0.0,0,0.6666666666666666,1,0.3333333333333333,1,101.33333333333333,86,50.0,50,0.6666666666666666,2.0,117.0,131,0.6666666666666666,0
0,Granit Xhaka,5,3.6,2,4.2,1,471.0,396,9.8,10,549.8199999999999,327.6,84450.0,84450,51.6,52,35.4,27,1.8,1,132.52,94.0,563.8,456.0,2669.0,2519,0.0,0,0.0,0,0.0,0,0.6,1,0.0,0,55.0,55,210.0,154.0,85.4,70,8.4,7
0,Pablo Marí,2,0.0,0,1.0,1,106.5,182,2.5,4,14.049999999999999,26.4,92371.0,92371,44.0,44,4.0,8,0.0,0,11.8,20.6,95.5,163.2,506.5,900,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,47.5,45,8.0,16.0,21.0,34,1.0,2
0,Héctor Bellerín,8,3.0,3,9.0,17,424.625,421,7.75,7,211.975,351.8,98745.0,98745,54.625,50,23.625,24,1.0,1,62.4125,94.7,225.47500000000002,362.8,1891.625,2089,0.125,0,0.0,0,0.0,0,0.0,0,0.0,0,53.75,50,186.75,232.0,87.25,94,3.75,8
0,Calum Chambers,9,0.7777777777777778,3,3.111111111111111,3,226.44444444444446,168,3.5555555555555554,2,73.53333333333333,169.4,101184.0,101184,43.888888888888886,45,20.0,10,0.6666666666666666,0,39.25555555555555,41.9,219.2,171.8,1232.0,751,0.0,0,0.0,0,0.0,0,0.1111111111111111,0,0.0,0,45.55555555555556,45,99.44444444444444,77.0,42.666666666666664,36,3.111111111111111,0
0,Sead Kolasinac,4,3.25,0,4.25,0,308.0,9,4.75,0,242.17499999999998,5.4,111457.0,111457,51.75,48,21.5,1,0.5,0,68.4,1.3,259.9,3.6,1454.0,90,0.25,0,0.0,0,0.0,0,0.0,0,0.0,0,53.75,50,182.75,4.0,61.5,2,3.0,0
0,Rob Holding,5,0.4,1,4.2,10,229.4,536,4.0,11,39.62,76.1,156074.0,156074,43.0,43,14.0,26,0.0,0,35.28,77.7,261.64,602.6,1114.4,2557,0.2,1,0.0,0,0.0,0,0.0,0,0.0,0,46.0,45,50.8,97.0,40.8,105,2.0,2
0,Kieran Tierney,2,3.0,4,4.0,4,348.0,483,5.0,8,305.6,490.1,192895.0,192895,52.5,52,21.5,27,1.0,1,76.85,113.9,324.1,446.4,1642.5,2299,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,55.0,55,137.0,201.0,69.0,96,3.0,4
0,Nicolas Pépé,2,4.5,3,10.0,11,352.0,351,4.5,4,437.65,235.9,195735.0,195735,83.0,77,25.5,21,7.5,10,162.5,148.5,488.2,476.2,1805.0,1606,0.0,0,0.0,0,0.0,0,0.5,1,0.0,0,87.5,80,699.0,774.0,110.0,114,2.5,1
0,Lucas Torreira,3,1.6666666666666667,0,2.0,0,218.66666666666666,0,2.6666666666666665,0,169.36666666666667,0.0,198849.0,198849,47.0,47,20.333333333333332,0,1.0,0,54.73333333333333,0.0,240.86666666666667,0.0,1292.6666666666667,0,0.0,0,0.0,0,0.0,0,0.3333333333333333,0,0.0,0,50.0,50,136.66666666666666,0.0,41.333333333333336,0,4.666666666666667,0
0,Reiss Nelson,4,0.25,0,0.0,0,32.5,2,0.5,0,46.925,9.7,200641.0,200641,48.75,51,2.5,0,0.25,0,13.024999999999999,2.4,31.650000000000002,4.2,209.0,70,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,51.25,55,51.5,10.0,9.25,2,0.25,0
0,Edward Nketiah,4,0.25,1,1.75,5,58.0,120,1.0,1,45.224999999999994,97.3,205533.0,205533,49.0,53,4.75,6,1.25,2,23.049999999999997,42.1,63.199999999999996,116.6,279.75,411,0.0,0,0.0,0,0.0,0,0.25,0,0.0,0,51.25,60,124.25,211.0,18.5,36,0.0,0
